Ceremony_Id,Ceremony_year,Ceremony_date,Ceremony_venue
89,2017,2017-02-22,"Shrine Auditorium, Los Angeles"
90,2018,2018-03-01,"Hollywood Roosevelt Hotel, Los Angeles"
91,2019,2019-02-23,"Union Station, Los Angeles"
92,2020,2020-03-02,"Hollywood Roosevelt Hotel, Los Angeles"
93,2021,2021-02-24,"Ambassador Hotel, Los Angeles"
94,2022,2022-02-28,"Dorothy Chandler Pavilion, Los Angeles"
95,2023,2023-02-23,"Ambassador Hotel, Los Angeles"
96,2024,2024-02-27,"Dorothy Chandler Pavilion, Los Angeles"
97,2025,2025-02-24,"Dorothy Chandler Pavilion, Los Angeles"
98,2025,2025-03-04,"Hollywood Roosevelt Hotel, Los Angeles"
99,2025,2025-03-05,"Hollywood Roosevelt Hotel, Los Angeles"
100,2025,2025-03-01,"Shrine Auditorium, Los Angeles"
101,2025,2025-02-25,"Grauman's Chinese Theatre, Los Angeles"
102,2025,2025-03-01,"Grauman's Chinese Theatre, Los Angeles"
103,2025,2025-02-22,"Union Station, Los Angeles"
104,2025,2025-02-24,"Pantages Theatre, Los Angeles"
105,2025,2025-03-03,"Dorothy Chandler Pavilion, Los Angeles"
106,2025,2025-03-05,"Pantages Theatre, Los Angeles"
107,2025,2025-03-03,"Union Station, Los Angeles"
108,2025,2025-02-23,"Pantages Theatre, Los Angeles"
109,2025,2025-02-23,"Shrine Auditorium, Los Angeles"
110,2025,2025-03-04,"Ambassador Hotel, Los Angeles"
111,2025,2025-03-05,"Shrine Auditorium, Los Angeles"
112,2025,2025-02-21,"Dorothy Chandler Pavilion, Los Angeles"
113,2025,2025-03-01,"Dolby Theatre, Los Angeles"
114,2025,2025-03-04,"Pantages Theatre, Los Angeles"
115,2025,2025-02-20,"Union Station, Los Angeles"
116,2025,2025-03-01,"Dorothy Chandler Pavilion, Los Angeles"
117,2025,2025-02-26,"Dolby Theatre, Los Angeles"
118,2025,2025-02-23,"Union Station, Los Angeles"
119,2025,2025-03-03,"Grauman's Chinese Theatre, Los Angeles"
120,2025,2025-02-25,"Grauman's Chinese Theatre, Los Angeles"
121,2025,2025-03-03,"Pantages Theatre, Los Angeles"
122,2025,2025-03-04,"Union Station, Los Angeles"
123,2025,2025-03-05,"Shrine Auditorium, Los Angeles"
124,2025,2025-03-01,"Shrine Auditorium, Los Angeles"
125,2025,2025-03-01,"Pantages Theatre, Los Angeles"
126,2025,2025-02-25,"Shrine Auditorium, Los Angeles"
127,2025,2025-02-20,"Union Station, Los Angeles"
128,2025,2025-02-23,"Union Station, Los Angeles"
129,2025,2025-02-22,"Dorothy Chandler Pavilion, Los Angeles"
130,2025,2025-02-25,"Dolby Theatre, Los Angeles"
131,2025,2025-03-02,"Pantages Theatre, Los Angeles"
132,2025,2025-02-24,"Dorothy Chandler Pavilion, Los Angeles"
133,2025,2025-02-20,"Union Station, Los Angeles"
134,2025,2025-02-22,"Pantages Theatre, Los Angeles"
135,2025,2025-02-23,"Hollywood Roosevelt Hotel, Los Angeles"
136,2025,2025-03-03,"Pantages Theatre, Los Angeles"
137,2025,2025-03-05,"Hollywood Roosevelt Hotel, Los Angeles"
138,2025,2025-03-02,"Hollywood Roosevelt Hotel, Los Angeles"
139,2025,2025-03-04,"Union Station, Los Angeles"
140,2025,2025-03-02,"Dolby Theatre, Los Angeles"
141,2025,2025-02-25,"Dorothy Chandler Pavilion, Los Angeles"
142,2025,2025-02-28,"Ambassador Hotel, Los Angeles"
143,2025,2025-03-04,"Hollywood Roosevelt Hotel, Los Angeles"
144,2025,2025-02-28,"Shrine Auditorium, Los Angeles"
145,2025,2025-03-03,"Grauman's Chinese Theatre, Los Angeles"
146,2025,2025-03-01,"Shrine Auditorium, Los Angeles"
147,2025,2025-02-23,"Shrine Auditorium, Los Angeles"
148,2025,2025-02-23,"Union Station, Los Angeles"
149,2025,2025-02-26,"Hollywood Roosevelt Hotel, Los Angeles"
150,2025,2025-03-05,"Hollywood Roosevelt Hotel, Los Angeles"
